Input,Actual
Generate a list of 10 sports with their Olympic status.,"Output each line as ""Sport: [name], Olympic: [Yes/No]"". Steps: interpret the instruction, list 10 sports and indicate if they are Olympic, and output each on a new line with exact punctuation."
Format a list of 10 famous landmarks with their locations.,"Output each line as ""Landmark: [name], Location: [place]"". Steps: interpret the instruction, list 10 landmarks and their locations, and output each entry on a separate line with precise formatting."
Create a list of 10 dog breeds with their size category.,"Output each line as ""Breed: [name], Size: [Small/Medium/Large]"". Steps: interpret the instruction, list 10 dog breeds and their size, and output each on a new line with exact punctuation."
Generate a list of 10 birds with their average wingspan.,"Output each line as ""Bird: [name], Wingspan: [value] cm"". Steps: interpret the instruction, list 10 birds and their wingspans, and output each entry on a separate line with precise formatting."
Format a list of 10 trees with their average height.,"Output each line as ""Tree: [name], Height: [value] m"". Steps: interpret the instruction, list 10 trees and their heights, and output each on a new line with exact punctuation."
Create a list of 10 rivers with their lengths.,"Output each line as ""River: [name], Length: [value] km"". Steps: interpret the instruction, list 10 rivers and their lengths, and output each entry on a separate line with precise formatting."
Generate a list of 10 mountains with their elevations.,"Output each line as ""Mountain: [name], Elevation: [value] m"". Steps: interpret the instruction, list 10 mountains and their elevations, and output each on a new line with exact punctuation."
Format a list of 10 oceans and seas with their area.,"Output each line as ""Body: [name], Area: [value] sq km"". Steps: interpret the instruction, list 10 oceans or seas and their areas, and output each entry on a separate line with precise formatting."
Create a list of 10 currencies with their ISO codes.,"Output each line as ""Currency: [name], Code: [ISO code]"". Steps: interpret the instruction, list 10 currencies and their codes, and output each on a new line with exact punctuation."
Generate a list of 10 time zones with their UTC offsets.,"Output each line as ""Time Zone: [name], UTC Offset: [offset]"". Steps: interpret the instruction, list 10 time zones and their offsets, and output each entry on a separate line with precise formatting."
Format a list of 10 holidays with their dates.,"Output each line as ""Holiday: [name], Date: [date]"". Steps: interpret the instruction, list 10 holidays and their dates, and output each on a new line with exact punctuation."
Create a list of 10 languages with their number of speakers.,"Output each line as ""Language: [name], Speakers: [number]"". Steps: interpret the instruction, list 10 languages and their speaker counts, and output each entry on a separate line with precise formatting."
Generate a list of 10 famous authors with their most known work.,"Output each line as ""Author: [name], Work: [title]"". Steps: interpret the instruction, list 10 authors and their works, and output each on a new line with exact punctuation."
Format a list of 10 Nobel Prize winners with their category.,"Output each line as ""Winner: [name], Category: [category]"". Steps: interpret the instruction, list 10 Nobel winners and their categories, and output each entry on a separate line with precise formatting."
Create a list of 10 famous painters with their nationality.,"Output each line as ""Painter: [name], Nationality: [country]"". Steps: interpret the instruction, list 10 painters and their nationalities, and output each on a new line with exact punctuation."
Generate a list of 10 composers with their era.,"Output each line as ""Composer: [name], Era: [era]"". Steps: interpret the instruction, list 10 composers and their eras, and output each entry on a separate line with precise formatting."
Format a list of 10 philosophers with their main idea.,"Output each line as ""Philosopher: [name], Idea: [concept]"". Steps: interpret the instruction, list 10 philosophers and their main ideas, and output each on a new line with exact punctuation."
Create a list of 10 inventors with their invention.,"Output each line as ""Inventor: [name], Invention: [item]"". Steps: interpret the instruction, list 10 inventors and their inventions, and output each entry on a separate line with precise formatting."
Generate a list of 10 mathematicians with their contribution.,"Output each line as ""Mathematician: [name], Contribution: [field or theorem]"". Steps: interpret the instruction, list 10 mathematicians and their contributions, and output each on a new line with exact punctuation."
Format a list of 10 chess grandmasters with their country.,"Output each line as ""Grandmaster: [name], Country: [country]"". Steps: interpret the instruction, list 10 chess grandmasters and their countries, and output each entry on a separate line with precise formatting."
Create a list of 10 Olympic gold medalists with their sport.,"Output each line as ""Athlete: [name], Sport: [sport]"". Steps: interpret the instruction, list 10 gold medalists and their sports, and output each on a new line with exact punctuation."
Generate a list of 10 actors with their most famous role.,"Output each line as ""Actor: [name], Role: [character]"". Steps: interpret the instruction, list 10 actors and their roles, and output each entry on a separate line with precise formatting."
Format a list of 10 directors with their best-known film.,"Output each line as ""Director: [name], Film: [title]"". Steps: interpret the instruction, list 10 directors and their films, and output each on a new line with exact punctuation."
Create a list of 10 TV shows with their genre.,"Output each line as ""Show: [name], Genre: [genre]"". Steps: interpret the instruction, list 10 TV shows and their genres, and output each entry on a separate line with precise formatting."
Generate a list of 10 video games with their release year.,"Output each line as ""Game: [name], Year: [year]"". Steps: interpret the instruction, list 10 video games and their release years, and output each on a new line with exact punctuation."
Format a list of 10 board games with their number of players.,"Output each line as ""Board Game: [name], Players: [number]"". Steps: interpret the instruction, list 10 board games and their player counts, and output each entry on a separate line with precise formatting."
Create a list of 10 card games with their type.,"Output each line as ""Card Game: [name], Type: [type]"". Steps: interpret the instruction, list 10 card games and their types, and output each on a new line with exact punctuation."
Generate a list of 10 desserts with their main ingredient.,"Output each line as ""Dessert: [name], Main Ingredient: [ingredient]"". Steps: interpret the instruction, list 10 desserts and their main ingredients, and output each entry on a separate line with precise formatting."
Format a list of 10 beverages with their caffeine content.,"Output each line as ""Beverage: [name], Caffeine: [amount] mg"". Steps: interpret the instruction, list 10 beverages and their caffeine content, and output each on a new line with exact punctuation."
Create a list of 10 breakfast foods with their country of origin.,"Output each line as ""Food: [name], Country: [country]"". Steps: interpret the instruction, list 10 breakfast foods and their countries, and output each entry on a separate line with precise formatting."
Generate a list of 10 types of cheese with their milk source.,"Output each line as ""Cheese: [name], Milk: [animal]"". Steps: interpret the instruction, list 10 cheeses and their milk sources, and output each on a new line with exact punctuation."
Format a list of 10 pasta types with their shape.,"Output each line as ""Pasta: [name], Shape: [description]"". Steps: interpret the instruction, list 10 pasta types and their shapes, and output each entry on a separate line with precise formatting."
Create a list of 10 spices with their flavor profile.,"Output each line as ""Spice: [name], Flavor: [profile]"". Steps: interpret the instruction, list 10 spices and their flavor profiles, and output each on a new line with exact punctuation."
Generate a list of 10 flowers with their color.,"Output each line as ""Flower: [name], Color: [color]"". Steps: interpret the instruction, list 10 flowers and their colors, and output each entry on a separate line with precise formatting."
Format a list of 10 gemstones with their hardness.,"Output each line as ""Gemstone: [name], Hardness: [value]"". Steps: interpret the instruction, list 10 gemstones and their hardness, and output each on a new line with exact punctuation."
Create a list of 10 metals with their melting points.,"Output each line as ""Metal: [name], Melting Point: [value]°C"". Steps: interpret the instruction, list 10 metals and their melting points, and output each entry on a separate line with precise formatting."
Generate a list of 10 computer parts with their function.,"Output each line as ""Part: [name], Function: [description]"". Steps: interpret the instruction, list 10 computer parts and their functions, and output each on a new line with exact punctuation."
Format a list of 10 internet protocols with their port numbers.,"Output each line as ""Protocol: [name], Port: [number]"". Steps: interpret the instruction, list 10 protocols and their ports, and output each entry on a separate line with precise formatting."
Create a list of 10 file extensions with their associated file type.,"Output each line as ""Extension: [name], Type: [file type]"". Steps: interpret the instruction, list 10 file extensions and their types, and output each on a new line with exact punctuation."
Generate a list of 10 operating systems with their developer.,"Output each line as ""OS: [name], Developer: [company]"". Steps: interpret the instruction, list 10 operating systems and their developers, and output each entry on a separate line with precise formatting."
Format a list of 10 web browsers with their release year.,"Output each line as ""Browser: [name], Released: [year]"". Steps: interpret the instruction, list 10 browsers and their release years, and output each on a new line with exact punctuation."
Create a list of 10 programming paradigms with a brief description.,"Output each line as ""Paradigm: [name], Description: [text]"". Steps: interpret the instruction, list 10 paradigms and their descriptions, and output each entry on a separate line with precise formatting."
Generate a list of 10 data structures with their use case.,"Output each line as ""Data Structure: [name], Use Case: [description]"". Steps: interpret the instruction, list 10 data structures and their use cases, and output each on a new line with exact punctuation."
Format a list of 10 algorithms with their time complexity.,"Output each line as ""Algorithm: [name], Time Complexity: [complexity]"". Steps: interpret the instruction, list 10 algorithms and their time complexities, and output each entry on a separate line with precise formatting."
Create a list of 10 cloud services with their provider.,"Output each line as ""Service: [name], Provider: [company]"". Steps: interpret the instruction, list 10 cloud services and their providers, and output each on a new line with exact punctuation."
Generate a list of 10 mobile apps with their category.,"Output each line as ""App: [name], Category: [category]"". Steps: interpret the instruction, list 10 mobile apps and their categories, and output each entry on a separate line with precise formatting."
Format a list of 10 social media platforms with their launch year.,"Output each line as ""Platform: [name], Launched: [year]"". Steps: interpret the instruction, list 10 platforms and their launch years, and output each on a new line with exact punctuation."
Create a list of 10 cryptocurrencies with their symbol.,"Output each line as ""Cryptocurrency: [name], Symbol: [symbol]"". Steps: interpret the instruction, list 10 cryptocurrencies and their symbols, and output each entry on a separate line with precise formatting."
Generate a list of 10 stocks with their ticker symbol.,"Output each line as ""Stock: [name], Ticker: [symbol]"". Steps: interpret the instruction, list 10 stocks and their ticker symbols, and output each on a new line with exact punctuation."
Format a list of 10 insurance types with their coverage.,"Output each line as ""Insurance: [type], Coverage: [description]"". Steps: interpret the instruction, list 10 insurance types and their coverage, and output each entry on a separate line with precise formatting."
Create a list of 10 bank account types with their features.,"Output each line as ""Account: [type], Features: [description]"". Steps: interpret the instruction, list 10 account types and their features, and output each on a new line with exact punctuation."
Generate a list of 10 investment types with their risk level.,"Output each line as ""Investment: [type], Risk: [level]"". Steps: interpret the instruction, list 10 investment types and their risk levels, and output each entry on a separate line with precise formatting."
Format a list of 10 credit card types with their benefits.,"Output each line as ""Card: [type], Benefits: [description]"". Steps: interpret the instruction, list 10 credit card types and their benefits, and output each on a new line with exact punctuation."
Create a list of 10 loan types with their interest rates.,"Output each line as ""Loan: [type], Interest Rate: [rate]%"". Steps: interpret the instruction, list 10 loan types and their interest rates, and output each entry on a separate line with precise formatting."
Generate a list of 10 tax types with their applicable region.,"Output each line as ""Tax: [type], Region: [region]"". Steps: interpret the instruction, list 10 tax types and their regions, and output each on a new line with exact punctuation."
Format a list of 10 government agencies with their function.,"Output each line as ""Agency: [name], Function: [description]"". Steps: interpret the instruction, list 10 agencies and their functions, and output each entry on a separate line with precise formatting."
Create a list of 10 legal terms with their definitions.,"Output each line as ""Term: [name], Definition: [definition]"". Steps: interpret the instruction, list 10 legal terms and their definitions, and output each on a new line with exact punctuation."
Generate a list of 10 medical specialties with their focus area.,"Output each line as ""Specialty: [name], Focus: [area]"". Steps: interpret the instruction, list 10 specialties and their focus areas, and output each entry on a separate line with precise formatting."
Format a list of 10 diseases with their symptoms.,"Output each line as ""Disease: [name], Symptom: [description]"". Steps: interpret the instruction, list 10 diseases and a key symptom for each, and output each on a new line with exact punctuation."
Create a list of 10 vaccines with their target disease.,"Output each line as ""Vaccine: [name], Disease: [target]"". Steps: interpret the instruction, list 10 vaccines and their target diseases, and output each entry on a separate line with precise formatting."
Generate a list of 10 medical devices with their use.,"Output each line as ""Device: [name], Use: [description]"". Steps: interpret the instruction, list 10 devices and their uses, and output each on a new line with exact punctuation."
Format a list of 10 pharmaceutical drugs with their purpose.,"Output each line as ""Drug: [name], Purpose: [description]"". Steps: interpret the instruction, list 10 drugs and their purposes, and output each entry on a separate line with precise formatting."
Create a list of 10 hospital departments with their function.,"Output each line as ""Department: [name], Function: [description]"". Steps: interpret the instruction, list 10 departments and their functions, and output each on a new line with exact punctuation."
Generate a list of 10 fitness exercises with their target muscle.,"Output each line as ""Exercise: [name], Muscle: [target]"". Steps: interpret the instruction, list 10 exercises and their target muscles, and output each entry on a separate line with precise formatting."
Format a list of 10 yoga poses with their benefits.,"Output each line as ""Pose: [name], Benefit: [description]"". Steps: interpret the instruction, list 10 yoga poses and their benefits, and output each on a new line with exact punctuation."
Create a list of 10 meditation techniques with their focus.,"Output each line as ""Technique: [name], Focus: [area]"". Steps: interpret the instruction, list 10 techniques and their focus areas, and output each entry on a separate line with precise formatting."
Generate a list of 10 mental health disorders with their symptoms.,"Output each line as ""Disorder: [name], Symptom: [description]"". Steps: interpret the instruction, list 10 disorders and a key symptom for each, and output each on a new line with exact punctuation."
Format a list of 10 therapy types with their approach.,"Output each line as ""Therapy: [name], Approach: [description]"". Steps: interpret the instruction, list 10 therapies and their approaches, and output each entry on a separate line with precise formatting."
Create a list of 10 educational degrees with their field.,"Output each line as ""Degree: [name], Field: [field]"". Steps: interpret the instruction, list 10 degrees and their fields, and output each on a new line with exact punctuation."
Generate a list of 10 school subjects with their grade level.,"Output each line as ""Subject: [name], Grade: [level]"". Steps: interpret the instruction, list 10 subjects and their grade levels, and output each entry on a separate line with precise formatting."
Format a list of 10 university courses with their code.,"Output each line as ""Course: [name], Code: [code]"". Steps: interpret the instruction, list 10 courses and their codes, and output each on a new line with exact punctuation."
Create a list of 10 scholarships with their eligibility criteria.,"Output each line as ""Scholarship: [name], Eligibility: [criteria]"". Steps: interpret the instruction, list 10 scholarships and their criteria, and output each entry on a separate line with precise formatting."
Generate a list of 10 job titles with their responsibilities.,"Output each line as ""Job: [title], Responsibility: [description]"". Steps: interpret the instruction, list 10 jobs and their responsibilities, and output each on a new line with exact punctuation."
Format a list of 10 companies with their industry.,"Output each line as ""Company: [name], Industry: [industry]"". Steps: interpret the instruction, list 10 companies and their industries, and output each entry on a separate line with precise formatting."
Create a list of 10 startups with their founding year.,"Output each line as ""Startup: [name], Founded: [year]"". Steps: interpret the instruction, list 10 startups and their founding years, and output each on a new line with exact punctuation."
Generate a list of 10 CEOs with their company.,"Output each line as ""CEO: [name], Company: [company]"". Steps: interpret the instruction, list 10 CEOs and their companies, and output each entry on a separate line with precise formatting."
Format a list of 10 business models with their description.,"Output each line as ""Model: [name], Description: [text]"". Steps: interpret the instruction, list 10 business models and their descriptions, and output each on a new line with exact punctuation."
Create a list of 10 marketing strategies with their goal.,"Output each line as ""Strategy: [name], Goal: [description]"". Steps: interpret the instruction, list 10 strategies and their goals, and output each entry on a separate line with precise formatting."
Generate a list of 10 sales techniques with their method.,"Output each line as ""Technique: [name], Method: [description]"". Steps: interpret the instruction, list 10 techniques and their methods, and output each on a new line with exact punctuation."
Format a list of 10 customer service skills with their benefit.,"Output each line as ""Skill: [name], Benefit: [description]"". Steps: interpret the instruction, list 10 skills and their benefits, and output each entry on a separate line with precise formatting."
Create a list of 10 project management tools with their feature.,"Output each line as ""Tool: [name], Feature: [description]"". Steps: interpret the instruction, list 10 tools and their features, and output each on a new line with exact punctuation."
Generate a list of 10 leadership qualities with their impact.,"Output each line as ""Quality: [name], Impact: [description]"". Steps: interpret the instruction, list 10 qualities and their impacts, and output each entry on a separate line with precise formatting."
Format a list of 10 teamwork skills with their example.,"Output each line as ""Skill: [name], Example: [description]"". Steps: interpret the instruction, list 10 skills and examples, and output each on a new line with exact punctuation."
Create a list of 10 time management tips with their benefit.,"Output each line as ""Tip: [description], Benefit: [result]"". Steps: interpret the instruction, list 10 tips and their benefits, and output each entry on a separate line with precise formatting."
Generate a list of 10 productivity hacks with their explanation.,"Output each line as ""Hack: [description], Explanation: [text]"". Steps: interpret the instruction, list 10 hacks and explanations, and output each on a new line with exact punctuation."
Format a list of 10 negotiation tactics with their outcome.,"Output each line as ""Tactic: [name], Outcome: [description]"". Steps: interpret the instruction, list 10 tactics and outcomes, and output each entry on a separate line with precise formatting."
Create a list of 10 conflict resolution strategies with their approach.,"Output each line as ""Strategy: [name], Approach: [description]"". Steps: interpret the instruction, list 10 strategies and approaches, and output each on a new line with exact punctuation."
Generate a list of 10 decision-making models with their process.,"Output each line as ""Model: [name], Process: [description]"". Steps: interpret the instruction, list 10 models and processes, and output each entry on a separate line with precise formatting."
Format a list of 10 problem-solving techniques with their step.,"Output each line as ""Technique: [name], Step: [description]"". Steps: interpret the instruction, list 10 techniques and steps, and output each on a new line with exact punctuation."
Create a list of 10 critical thinking skills with their application.,"Output each line as ""Skill: [name], Application: [description]"". Steps: interpret the instruction, list 10 skills and applications, and output each entry on a separate line with precise formatting."
Generate a list of 10 communication styles with their context.,"Output each line as ""Style: [name], Context: [description]"". Steps: interpret the instruction, list 10 styles and contexts, and output each on a new line with exact punctuation."
Format a list of 10 presentation tips with their effect.,"Output each line as ""Tip: [description], Effect: [result]"". Steps: interpret the instruction, list 10 tips and effects, and output each entry on a separate line with precise formatting."
Create a list of 10 public speaking techniques with their benefit.,"Output each line as ""Technique: [name], Benefit: [description]"". Steps: interpret the instruction, list 10 techniques and benefits, and output each on a new line with exact punctuation."
Generate a list of 10 writing styles with their characteristic.,"Output each line as ""Style: [name], Characteristic: [description]"". Steps: interpret the instruction, list 10 styles and characteristics, and output each entry on a separate line with precise formatting."
Format a list of 10 literary genres with their example.,"Output each line as ""Genre: [name], Example: [work]"". Steps: interpret the instruction, list 10 genres and examples, and output each on a new line with exact punctuation."
Create a list of 10 poetic forms with their structure.,"Output each line as ""Form: [name], Structure: [description]"". Steps: interpret the instruction, list 10 forms and structures, and output each entry on a separate line with precise formatting."
Generate a list of 10 rhetorical devices with their use.,"Output each line as ""Device: [name], Use: [description]"". Steps: interpret the instruction, list 10 devices and uses, and output each on a new line with exact punctuation."
Format a list of 10 grammar rules with their example.,"Output each line as ""Rule: [description], Example: [sentence]"". Steps: interpret the instruction, list 10 rules and examples, and output each entry on a separate line with precise formatting."
Create a list of 10 vocabulary words with their definition.,"Output each line as ""Word: [name], Definition: [definition]"". Steps: interpret the instruction, list 10 words and definitions, and output each on a new line with exact punctuation."
Generate a list of 10 idioms with their meaning.,"Output each line as ""Idiom: [phrase], Meaning: [description]"". Steps: interpret the instruction, list 10 idioms and meanings, and output each entry on a separate line with precise formatting."
Format a list of 10 phrasal verbs with their usage.,"Output each line as ""Phrasal Verb: [verb], Usage: [sentence]"". Steps: interpret the instruction, list 10 phrasal verbs and usage examples, and output each on a new line with exact punctuation."
Create a list of 10 synonyms with their antonyms.,"Output each line as ""Word: [name], Synonym: [word], Antonym: [word]"". Steps: interpret the instruction, list 10 words with synonyms and antonyms, and output each entry on a separate line with precise formatting."
Generate a list of 10 homophones with their meanings.,"Output each line as ""Homophone: [word], Meaning: [definition]"". Steps: interpret the instruction, list 10 homophones and meanings, and output each on a new line with exact punctuation."
Format a list of 10 palindromes with their length.,"Output each line as ""Palindrome: [word], Length: [number]"". Steps: interpret the instruction, list 10 palindromes and their lengths, and output each entry on a separate line with precise formatting."
Create a list of 10 anagrams with their original word.,"Output each line as ""Anagram: [word], Original: [word]"". Steps: interpret the instruction, list 10 anagrams and their originals, and output each on a new line with exact punctuation."
Generate a list of 10 tongue twisters with their word count.,"Output each line as ""Tongue Twister: [phrase], Words: [number]"". Steps: interpret the instruction, list 10 tongue twisters and their word counts, and output each entry on a separate line with precise formatting."
Format a list of 10 jokes with their punchline.,"Output each line as ""Joke: [setup], Punchline: [punchline]"". Steps: interpret the instruction, list 10 jokes and punchlines, and output each on a new line with exact punctuation."
Create a list of 10 riddles with their answer.,"Output each line as ""Riddle: [question], Answer: [answer]"". Steps: interpret the instruction, list 10 riddles and answers, and output each entry on a separate line with precise formatting."
Generate a list of 10 proverbs with their origin.,"Output each line as ""Proverb: [phrase], Origin: [country or culture]"". Steps: interpret the instruction, list 10 proverbs and origins, and output each on a new line with exact punctuation."
Format a list of 10 quotes with their context.,"Output each line as ""Quote: [text], Context: [description]"". Steps: interpret the instruction, list 10 quotes and contexts, and output each entry on a separate line with precise formatting."
Create a list of 10 motivational statements with their focus area.,"Output each line as ""Statement: [text], Focus: [area]"". Steps: interpret the instruction, list 10 statements and focus areas, and output each on a new line with exact punctuation."
Generate a list of 10 affirmations with their intended effect.,"Output each line as ""Affirmation: [text], Effect: [description]"". Steps: interpret the instruction, list 10 affirmations and effects, and output each entry on a separate line with precise formatting."
Format a list of 10 life hacks with their benefit.,"Output each line as ""Life Hack: [description], Benefit: [result]"". Steps: interpret the instruction, list 10 life hacks and benefits, and output each on a new line with exact punctuation."
Create a list of 10 travel tips with their destination.,"Output each line as ""Tip: [description], Destination: [place]"". Steps: interpret the instruction, list 10 tips and destinations, and output each entry on a separate line with precise formatting."
Generate a list of 10 packing items with their use.,"Output each line as ""Item: [name], Use: [description]"". Steps: interpret the instruction, list 10 items and uses, and output each on a new line with exact punctuation."
Format a list of 10 safety precautions with their scenario.,"Output each line as ""Precaution: [description], Scenario: [situation]"". Steps: interpret the instruction, list 10 precautions and scenarios, and output each entry on a separate line with precise formatting."
Create a list of 10 emergency procedures with their step.,"Output each line as ""Procedure: [name], Step: [description]"". Steps: interpret the instruction, list 10 procedures and steps, and output each on a new line with exact punctuation."
Generate a list of 10 first aid items with their purpose.,"Output each line as ""Item: [name], Purpose: [description]"". Steps: interpret the instruction, list 10 items and purposes, and output each entry on a separate line with precise formatting."
Format a list of 10 disaster types with their recommended action.,"Output each line as ""Disaster: [type], Action: [description]"". Steps: interpret the instruction, list 10 disasters and actions, and output each on a new line with exact punctuation."
Create a list of 10 weather phenomena with their description.,"Output each line as ""Phenomenon: [name], Description: [text]"". Steps: interpret the instruction, list 10 phenomena and descriptions, and output each entry on a separate line with precise formatting."
Generate a list of 10 climate zones with their characteristic.,"Output each line as ""Zone: [name], Characteristic: [description]"". Steps: interpret the instruction, list 10 zones and characteristics, and output each on a new line with exact punctuation."
Format a list of 10 environmental issues with their impact.,"Output each line as ""Issue: [name], Impact: [description]"". Steps: interpret the instruction, list 10 issues and impacts, and output each entry on a separate line with precise formatting."
Create a list of 10 renewable energy sources with their advantage.,"Output each line as ""Source: [name], Advantage: [description]"". Steps: interpret the instruction, list 10 sources and advantages, and output each on a new line with exact punctuation."
Generate a list of 10 recycling tips with their benefit.,"Output each line as ""Tip: [description], Benefit: [result]"". Steps: interpret the instruction, list 10 tips and benefits, and output each entry on a separate line with precise formatting."
Format a list of 10 endangered species with their habitat.,"Output each line as ""Species: [name], Habitat: [location]"". Steps: interpret the instruction, list 10 species and habitats, and output each on a new line with exact punctuation."
Create a list of 10 conservation organizations with their mission.,"Output each line as ""Organization: [name], Mission: [description]"". Steps: interpret the instruction, list 10 organizations and missions, and output each entry on a separate line with precise formatting."
Generate a list of 10 gardening tips with their plant type.,"Output each line as ""Tip: [description], Plant: [type]"". Steps: interpret the instruction, list 10 tips and plant types, and output each on a new line with exact punctuation."
Format a list of 10 houseplants with their care requirement.,"Output each line as ""Plant: [name], Care: [requirement]"". Steps: interpret the instruction, list 10 plants and care requirements, and output each entry on a separate line with precise formatting."
Create a list of 10 pet care tips with their animal.,"Output each line as ""Tip: [description], Animal: [type]"". Steps: interpret the instruction, list 10 tips and animals, and output each on a new line with exact punctuation."
Generate a list of 10 home maintenance tasks with their frequency.,"Output each line as ""Task: [description], Frequency: [interval]"". Steps: interpret the instruction, list 10 tasks and frequencies, and output each entry on a separate line with precise formatting."
Format a list of 10 cleaning supplies with their use.,"Output each line as ""Supply: [name], Use: [description]"". Steps: interpret the instruction, list 10 supplies and uses, and output each on a new line with exact punctuation."
Create a list of 10 kitchen utensils with their function.,"Output each line as ""Utensil: [name], Function: [description]"". Steps: interpret the instruction, list 10 utensils and functions, and output each entry on a separate line with precise formatting."
Generate a list of 10 cooking techniques with their dish.,"Output each line as ""Technique: [name], Dish: [example]"". Steps: interpret the instruction, list 10 techniques and example dishes, and output each on a new line with exact punctuation."
Format a list of 10 baking ingredients with their purpose.,"Output each line as ""Ingredient: [name], Purpose: [description]"". Steps: interpret the instruction, list 10 ingredients and purposes, and output each entry on a separate line with precise formatting."
Create a list of 10 meal planning tips with their benefit.,"Output each line as ""Tip: [description], Benefit: [result]"". Steps: interpret the instruction, list 10 tips and benefits, and output each on a new line with exact punctuation."
Generate a list of 10 nutrition facts with their food.,"Output each line as ""Fact: [description], Food: [name]"". Steps: interpret the instruction, list 10 facts and foods, and output each entry on a separate line with precise formatting."
Format a list of 10 dietary restrictions with their allowed foods.,"Output each line as ""Restriction: [name], Allowed: [foods]"". Steps: interpret the instruction, list 10 restrictions and allowed foods, and output each on a new line with exact punctuation."
Create a list of 10 allergy types with their trigger.,"Output each line as ""Allergy: [name], Trigger: [substance]"". Steps: interpret the instruction, list 10 allergies and triggers, and output each entry on a separate line with precise formatting."
Generate a list of 10 healthy habits with their effect.,"Output each line as ""Habit: [description], Effect: [result]"". Steps: interpret the instruction, list 10 habits and effects, and output each on a new line with exact punctuation."
Format a list of 10 sleep tips with their benefit.,"Output each line as ""Tip: [description], Benefit: [result]"". Steps: interpret the instruction, list 10 tips and benefits, and output each entry on a separate line with precise formatting."
Create a list of 10 relaxation techniques with their method.,"Output each line as ""Technique: [name], Method: [description]"". Steps: interpret the instruction, list 10 techniques and methods, and output each on a new line with exact punctuation."
Generate a list of 10 hobbies with their skill level.,"Output each line as ""Hobby: [name], Skill Level: [Beginner/Intermediate/Advanced]"". Steps: interpret the instruction, list 10 hobbies and skill levels, and output each entry on a separate line with precise formatting."
Format a list of 10 art forms with their medium.,"Output each line as ""Art Form: [name], Medium: [material]"". Steps: interpret the instruction, list 10 art forms and mediums, and output each on a new line with exact punctuation."
Create a list of 10 crafts with their required tools.,"Output each line as ""Craft: [name], Tools: [list]"". Steps: interpret the instruction, list 10 crafts and required tools, and output each entry on a separate line with precise formatting."
Generate a list of 10 DIY projects with their difficulty.,"Output each line as ""Project: [name], Difficulty: [level]"". Steps: interpret the instruction, list 10 projects and difficulty levels, and output each on a new line with exact punctuation."
Format a list of 10 photography tips with their subject.,"Output each line as ""Tip: [description], Subject: [type]"". Steps: interpret the instruction, list 10 tips and subjects, and output each entry on a separate line with precise formatting."
Create a list of 10 film genres with their key element.,"Output each line as ""Genre: [name], Element: [description]"". Steps: interpret the instruction, list 10 genres and key elements, and output each on a new line with exact punctuation."
Generate a list of 10 dance styles with their origin.,"Output each line as ""Style: [name], Origin: [country or region]"". Steps: interpret the instruction, list 10 styles and origins, and output each entry on a separate line with precise formatting."
Format a list of 10 musical genres with their characteristic instrument.,"Output each line as ""Genre: [name], Instrument: [instrument]"". Steps: interpret the instruction, list 10 genres and characteristic instruments, and output each on a new line with exact punctuation."
Create a list of 10 theater plays with their playwright.,"Output each line as ""Play: [title], Playwright: [name]"". Steps: interpret the instruction, list 10 plays and playwrights, and output each entry on a separate line with precise formatting."
Generate a list of 10 museums with their location.,"Output each line as ""Museum: [name], Location: [city or country]"". Steps: interpret the instruction, list 10 museums and locations, and output each on a new line with exact punctuation."
Format a list of 10 festivals with their date.,"Output each line as ""Festival: [name], Date: [date]"". Steps: interpret the instruction, list 10 festivals and dates, and output each entry on a separate line with precise formatting."
Create a list of 10 tourist attractions with their country.,"Output each line as ""Attraction: [name], Country: [country]"". Steps: interpret the instruction, list 10 attractions and countries, and output each on a new line with exact punctuation."
Generate a list of 10 world heritage sites with their year of inscription.,"Output each line as ""Site: [name], Year: [year]"". Steps: interpret the instruction, list 10 sites and years, and output each entry on a separate line with precise formatting."
Format a list of 10 airlines with their IATA code.,"Output each line as ""Airline: [name], IATA: [code]"". Steps: interpret the instruction, list 10 airlines and IATA codes, and output each on a new line with exact punctuation."
Create a list of 10 airports with their city.,"Output each line as ""Airport: [name], City: [city]"". Steps: interpret the instruction, list 10 airports and cities, and output each entry on a separate line with precise formatting."
Generate a list of 10 train stations with their country.,"Output each line as ""Station: [name], Country: [country]"". Steps: interpret the instruction, list 10 stations and countries, and output each on a new line with exact punctuation."
Format a list of 10 public transport types with their capacity.,"Output each line as ""Transport: [type], Capacity: [number]"". Steps: interpret the instruction, list 10 types and capacities, and output each entry on a separate line with precise formatting."
Create a list of 10 road types with their speed limit.,"Output each line as ""Road: [type], Speed Limit: [value] km/h"". Steps: interpret the instruction, list 10 road types and speed limits, and output each on a new line with exact punctuation."
Generate a list of 10 traffic signs with their meaning.,"Output each line as ""Sign: [name], Meaning: [description]"". Steps: interpret the instruction, list 10 signs and meanings, and output each entry on a separate line with precise formatting."
Format a list of 10 vehicle types with their fuel.,"Output each line as ""Vehicle: [type], Fuel: [fuel type]"". Steps: interpret the instruction, list 10 vehicle types and fuels, and output each on a new line with exact punctuation."
Create a list of 10 car models with their manufacturer.,"Output each line as ""Model: [name], Manufacturer: [company]"". Steps: interpret the instruction, list 10 models and manufacturers, and output each entry on a separate line with precise formatting."
